"Gene","Global","Intra","CellType"
"COX16",0.216071265855008,0.88455694397975,"macrophage"
"CPT1A",0.923371557392102,0.190849453892506,"macrophage"
"CTBP1",1.60291201677995,5.69421122855863,"macrophage"
"CTSW",0.165366531759823,0.0415447155173843,"macrophage"
"CX3CR1",14723122717622638,361295958.408821,"macrophage"
"CXorf21",0.144631065593502,102374243.213921,"macrophage"
"CXXC5",0.556708212046997,0.0726846977602049,"macrophage"
"CYBB",0.713021252676481,2.80362177956518,"macrophage"
"DCTN4",0.981323389227034,0.544735020444476,"macrophage"
"DEFA3",9715199052336126,NA,"macrophage"
"DEFA4",5976211054652577,16348464315.8134,"macrophage"
"DENND1A",0.210229121952034,2145505862676163,"macrophage"
"DENND2D",0.376354650885722,0.0940001440741169,"macrophage"
"DGKG",4499173308759024,165215497.6972,"macrophage"
"DGKZ",1.8942098012485,1.71080183874792,"macrophage"
"DIAPH2",1.0765774096835,0.626399769801023,"macrophage"
"DIP2A",0.816354363776435,0.112672324648944,"macrophage"
"DLEU2",0.392642814473896,0.645673526341121,"macrophage"
"DMXL2",0.358547930538795,0.407600694540072,"macrophage"
"DNAJC13",0.456376401151007,0.173537025985887,"macrophage"
"DOCK11",1.61280396263142,0.541869208834254,"macrophage"
"DOK2",0.704957853183801,1.88359048942447,"macrophage"
"DPYD",0.813845548402861,5.99724700039419,"macrophage"
"DUSP6",0.737052535937444,1195861179371878,"macrophage"
"E2F3",0.519165265727758,0.21085348317369,"macrophage"
"EEF1G",0.0843865131221778,90447723.4854232,"macrophage"
"EFCAB2",0.16086171842379,735008991.979671,"macrophage"
"EFTUD2",0.431538275076921,0.253852945950471,"macrophage"
"EHBP1L1",1.48618038185824,19.6514165425817,"macrophage"
"EIF4A1",1.51892674710418,1546511590.28701,"macrophage"
"ELANE",33994253397688.5,2077354214.18477,"macrophage"
"ELMO1",0.729843208877565,0.451730167533089,"macrophage"
"EMILIN2",0.486993928899037,5.77741360987008,"macrophage"
"EOMES",8911189543.64595,NA,"macrophage"
"EPS15L1",0.258137233983212,0.0690687551209552,"macrophage"
"EREG",0.363354469755606,4.65227219231829,"macrophage"
"ETV6",1.45301790491638,1.66832027746918,"macrophage"
"FAM111A",0.817989516281959,0.337136793339821,"macrophage"
"FAM117A",0.228269620712731,0.0555901919372688,"macrophage"
"FAM129C",3685851847616710,NA,"macrophage"
"FAM198B-AS1",0.0764773726852971,7903345625582686,"macrophage"
"FAM30A",5923141555453646,NA,"macrophage"
"FANCA",37789227626.366,55708907210.5919,"macrophage"
"FCGR3A",0.417371720775202,0.652857503933743,"macrophage"
"FCN1",0.175815350255351,0.0748169480355435,"macrophage"
"FCRL6",1588229192.3529,NA,"macrophage"
"FCRLA",2840074323741721,NA,"macrophage"
"FES",0.393714452751266,2.45146320747219,"macrophage"
"FGD2",0.420004980298678,0.469386325585723,"macrophage"
"FGFBP2",9893955123451392,NA,"macrophage"
"FGL2",0.50066394351148,13004067.9722819,"macrophage"
"FGR",1.16482575248069,32728532191.7912,"macrophage"
"FLI1",2.07236086883584,1.29300328525667,"macrophage"
